연도,기준,물환경(억원),기후대기 및 환경안전(억원),자원순환 및 환경경제(억원),자연환경(억원),환경일반(억원),해양환경(억원)
2015 ,결산,45082 ,3107 ,3070 ,5157 ,8822 ,2168 
2016 ,결산,43517 ,4924 ,3520 ,5633 ,9054 ,2589 
2017 ,결산,42664 ,6453 ,3673 ,5926 ,9799 ,2544 
2018 ,결산,39969 ,8576 ,3153 ,6044 ,9439 ,2686 
2019 ,결산,40427 ,22752 ,7476 ,6516 ,4838 ,2833 
2020 ,본예산,40913 ,27096 ,8172 ,6579 ,4647 ,2722 
2021 ,본예산,44015 ,34102 ,11913 ,8317 ,4976 ,2834 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
