구분,"예산_
본예산(조원)","예산_
최종(조원)","세입_
징수액(조원)","세입_
세입 
초과(조원)","세출_
현액(조원)","세출_
집행액(조원)","결산_
결산상
잉여금(조원)","결산_
이월(조원)","결산_
세계
잉여금(조원)","결산_
불용(조원)"
"2010_
일반회계",201.3,201.3,205.2,3.9,202.8,197.1,8.1,2.1,6,3.5
"2010_
특별회계",54.1,54.1,56,1.9,56.2,51.5,4.5,2.6,1.9,2
"2011_
일반회계",209.9,209.9,214.9,4.9,212.1,207.4,7.4,2.3,5.1,2.4
"2011_
특별회계",54.2,54.2,55.6,1.5,57.7,51.5,4.1,2.8,1.3,3.4
"2012_
일반회계",223.1,223.1,223.7,0.6,225.4,220.7,3,2.2,0.9,2.6
"2012_
특별회계",59.5,59.5,58.7,0.9,62.8,54.1,4.6,5.6,1,3.1
"2013_
일반회계",236.2,240.7,232.4,8.3,242.9,229.5,2.8,2.8,0.1,10.5
"2013_
특별회계",62.2,63.2,60.5,2.7,68.9,56.9,3.6,4.5,0.8,7.6
"2014_
일반회계",247.2,247.2,239.2,8,250,236.4,2.9,2.8,0.1,10.9
"2014_
특별회계",62.5,62.5,59.5,3,67,55.2,4.4,5.2,0.9,6.6
"2015_
일반회계",258.6,262.5,261.9,0.5,265.3,257.9,4.1,1.5,2.5,5.9
"2015_
특별회계",64.2,65.5,66.2,0.6,70.8,61.5,4.7,4.4,0.3,4.9
"2016_
일반회계",268.4,279.4,281.7,2.2,281,274,7.7,1.6,6.1,5.4
"2016_
특별회계",62.3,62.5,63.3,0.8,67,58.2,5.1,3.2,1.9,5.6
"2017_
일반회계",275,284.9,292.9,8,286.6,280.5,12.4,1.9,10.5,4.2
"2017_
특별회계",64.7,65,66.6,1.7,68.3,62.4,4.2,3,1.2,2.9
"2018_
일반회계",301.4,304,316.2,12.3,305.9,299.9,12.3,1.6,10.7,4.3
"2018_
특별회계",67.2,67.3,68.8,1.5,70.6,64.6,4.2,1.7,2.5,4.3
"2019_
일반회계",331.8,334.7,332.2,2.5,336.3,330.9,1.3,1.3,0.1,4.1
"2019_
특별회계",68,69.4,69.7,0.3,71.5,66.4,3.4,1.3,2.1,3.8
"2020_
일반회계",356.6,389.2,392.4,3.2,390.4,385.2,7.2,1.4,5.7,3.8
"2020_
특별회계",70.5,70.8,73.1,2.3,72.4,68.6,4.5,0.9,3.7,2.9
,,,,,,,,,,
