연도,일반회계(억원),특별회계(억원),"특별회계_
국가균형발전특별회계(억원)",기금(억원)
2009 ,172680 ,147095 ,73080 ,13713 
2010 ,168846 ,131353 ,63565 ,17482 
2011 ,179195 ,130088 ,60864 ,19626 
2012 ,201989 ,123510 ,53670 ,22015 
2013 ,247809 ,123202 ,58574 ,26842 
2014 ,257890 ,118155 ,55944 ,28768 
2015 ,283119 ,135855 ,65766 ,40371 
2016 ,294364 ,136571 ,73677 ,42347 
2017 ,302925 ,131408 ,69277 ,43725 
2018 ,329648 ,135614 ,71187 ,40442 
2019 ,409557 ,157689 ,83293 ,49359 
2020 ,441473 ,139639 ,60611 ,74844 
2021 ,507786 ,154170 ,65506 ,86060 
